Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
Clearwell Castle Wedding Venue,39,"£5,500","£15,000",60,Castle,150,250,1998
Holdsworth House Hotel,Country House,£28,£135,8,"£1,235","£11,130",80,Honeymoon Suite
Deer Park Weddings,2005,Barn,130,220,5,Honeymoon Suite,12:00 PM,
Maidens Barn,09:00 AM,Barn,200,200,13,26,Honeymoon Suite,6
Pendrell Hall,10:00 AM,Country House,170,170,27,60,Honeymoon Suite,10
The Mill Barns,10:00 AM,Barn,175,175,25,50,Honeymoon Suite,10
The Great Barn,More than 50,Barn,140,200,Changing Only,09:00 AM,1987,
Dewsall Court,220,£46,£72,"£15,000","£45,000",Country House,170,More than 50
St Audries Park Wedding Venue,41,"£5,500","£13,000",60,Country House,130,250,2002
Ellingham Hall,04:00 PM,Country House,140,180,17,32,Honeymoon Suite,30
Applewood Hall,200,£8,£29,£70,£80,60,Country House,09:00 AM
Colville Hall,200,£45,£70,£50,£70,60,Barn,09:00 AM
Allerton Castle,3,£155,£170,2,Castle,120,200,2000
Houchins,150,£45,£65,"£9,955","£10,975",70,Country House,10:00 AM
Leez Priory Wedding Venue,15,"£5,500","£14,000",60,Country House,100,250,1988
Smeetham Hall Barn,150,£38,£60,"£5,999","£9,439",80,Barn,2000
South Farm,13,"£5,800","£7,900",60,Barn,146,200,2005
Gosfield Hall Wedding Venue,23,"£5,500","£15,000",60,Stately Home,116,250,2004
,,,,,,,,
,,,,,,,,
Oxleaze Barn,2013,Barn,120,150,3,6,08:00 AM,
Manor Hill House,12:00 PM,Country House,160,240,4,8,Honeymoon Suite,5
White Dove Barn,"£15,000",£50,£50,£80,£120,70,"£8,000",24
High House Weddings,09:00 AM,Barn,120,150,3,2,Honeymoon Suite,8
RSA House,Changing Only,£129,£149,80,City Hotel,140,220,2
The Ashes Barns and Country House,10:00 AM,Barn,150,150,8,22,Honeymoon Suite,10
The Wellbeing Farm,2012,Barn,170,250,Honeymoon Suite,11:00 AM,01:00 AM,
Dodmoor House,2006,Barn,96,180,1,Honeymoon Suite,12:00 PM,
Mitton Hall,18,£80,£120,55,Country House,165,250,2013
Greenwoods Hotel & Spa,39,"£4,999","£18,500",230,Unique,150,300,2002
The Compasses at Pattiswick,2016,Country House,120,180,Changing Only,09:00 AM,12:00 AM,
Brickhouse Vineyard,More than 50,Barn,50,70,09:00 AM,12:00 PM,2018,
Berwick Lodge,90,£75,£125,"£6,500","£12,500",50,Country House,12:00 PM
Heaton House Farm,12:00 PM,Barn,350,600,15,40,Honeymoon Suite,60
Allington Manor,6,"£6,146","£12,450",60,Country House,80,80,2008
Berkeley Castle,08:00 AM,Castle,130,180,18,40,Honeymoon Suite,
Elmore Court,12:00 PM,Country House,200,200,16,50,Honeymoon Suite,10
Quantock Lakes,250,£55,£80,"£6,495","£10,995",80,Barn,12:00 PM
The Lawn,130,£22,£37,"£3,995","£13,000",150,Country House,1992
Oaks Farm,08:00 AM,Barn,100,150,1,2,Honeymoon Suite,5
Weddings at QMUL,Changing Only,£90,£115,100,University,240,240,Yes
Hales Hall & The Great Barn,180,£50,£55,"£13,310","£14,560",80,Barn,12:00 AM
The Ferry House ,34,"£5,750","£18,100",150,Barn,200,300,2000
Lodge Farm House,More than 50,Garden,180,200,7,14,Honeymoon Suite,
Hedingham Castle,Castle,£122,£217,70,"£8,554","£15,214",70,Honeymoon Suite
Wootton Park,150,£15,£58,"£3,995",60,Barn,150,01:00 AM
Hockwold Hall,11:00 AM,Country House,280,300,9,44,Honeymoon Suite,5
Stifford Hall Hotel,2,"£5,360","£6,400",80,130,200,97,Yes
Woodlands Park Hotel,200,£95,£109,"£13,500","£18,500",Country House,150,Yes
Forrester Park,120,£25,£60,"£4,000","£10,000",60,Golf Course,More than 50
Five Lakes Resort,180,£60,£100,50,"£4,600","£6,500",60,08:00 AM
Gisburne Park Estate,11:00 AM,Garden,250,350,100,250,Honeymoon Suite,60
Kings Chapel,12:00 PM,Converted Chapel,120,200,80,Honeymoon Suite,10:00 AM,
Moddershall Oaks Country Spa Retreat,07:00 AM,Garden,130,175,10,29,Honeymoon Suite,110
Wivenhoe House Hotel,120,£70,£100,35,"£1,750","£15,000",Country House,4
Huntstile Organic Farm,"£13,500",£35,£60,£45,£175,50,"£7,750",14
The Barns at Wick Farm,132,£45,£65,"£5,650","£5,800",60,Barn,10:00 AM
Crowcombe Court,100,£40,£58,"£3,940","£10,950",Country House,150,12:00 PM
Newland Hall,09:00 AM,"£1,995","£12,000",Country House,150,200,Changing Only,8
Holmewood Hall Wedding Venue,16,"£6,000","£14,000",62,Country House,77,250,2019
Shoreditch Studios,More than 50,Warehouse,170,220,09:00 AM,12:00 PM,2006,
Hockering House,5,"£5,500","£6,000",200,Country House,150,225,More than 50
Foxtail Barns ,11:00 AM,Barn,150,150,20,40,Honeymoon Suite,
Cote How Lake District Weddings,3,"£11,765","£16,620",50,Barn,50,50,2006
Holkham ,Stately Home,£125,£166,80,"£9,975","£13,000",80,3
Agni Om venue,,1900,,,,,,
Hayne House,11,"£3,700","£6,980",60,Country House,120,150,More than 50
