Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recover,Serious
 China ,"76,291", +827 ," 2,345 ",+109 ,"21,061 ","11,477 "
 ,634, , 2 , ,17 ,27 
 S. Korea ,433, +224 , 2 , ,18 ,9 
 Japan ,133, +24 , 1 , ,22 ,6 
 Singapore ,89, +3 , , ,49 ,5 
 Hong Kong ,70, +1 , 2 , ,10 ,6 
 Italy ,55, +34 , 2 ,+1 ,2 ,16 
 Thailand ,35, , , ,20 ,2 
 USA ,35, , , ,6 , 
 Iran ,28, +10 , 9 ,+5 , , 
 Taiwan ,26, , 1 , ,2 ,1 
 Malaysia ,22, , , ,17 , 
 Australia ,21, +2 , , ,11 , 
 Germany ,16, , , ,14 , 
 Vietnam ,16, , , ,15 , 
 U.A.E. ,13, +2 , , ,3 ,2 
 France ,12, , 1 , ,7 , 
 Macao ,10, , , ,6 , 
 Canada ,9, , , ,3 , 
 U.K. ,9, , , ,8 , 
 Philippines ,3, , 1 , ,2 , 
 India ,3, , , ,3 , 
 Russia ,2, , , ,2 , 
 Spain ,2, , , ,2 , 
 Belgium ,1, , , ,1 , 
 Cambodia ,1, , , ,1 , 
 Egypt ,1, , , ,1 , 
 Finland ,1, , , ,1 , 
 Israel ,1, , , , , 
 Lebanon ,1, , , , , 
 Nepal ,1, , , ,1 , 
 Sri Lanka ,1, , , ,1 , 
 Sweden ,1, , , , , 
