Category,URL,Name,Store Name,Price,,,,,,,,https://slickdeals.net/deal-categories/
Apple,https://slickdeals.net/f/13997216-kindle-sci-fi-ebook-speaker-for-the-dead-ender-quintet-book-2-by-orson-scott-card-2-99-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,Speaker for the Dead: Ender Quintet Book 2 (Kindle eBook),Amazon,$3 ,,,,,,,,
Apple,https://slickdeals.net/f/13996397-apple-iphone-se-second-gen-184-via-visible-after-rebate-starts-4-24?src=catpagev2,"Apple IPhone Se (second gen) $184 via Visible, after rebate. Starts 4/24",Visible,$184 ,,,,,,,,
Apple,https://slickdeals.net/f/13997405-1-99-kindle-historic-fiction-ebook-russka-the-novel-of-russia-by-edward-rutherfurd-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,"$1.99 Kindle Historic Fiction eBook: Russka: The Novel of Russia by Edward Rutherfurd - Amazon, Google Play, B&N Nook, Apple Books and Kobo",,,,,,,,,,
Apple,https://slickdeals.net/f/13988171-apple-airpods-pro-w-wireless-charging-case-225-free-shipping?src=catpagev2,Apple AirPods Pro w/ Wireless Charging Case,Verizon Wireless,$225 ,,,,,,,,
Apple,https://slickdeals.net/f/13988297-wine-folly-the-essential-guide-to-wine-kindle-ebook-2?src=catpagev2,Wine Folly: The Essential Guide to Wine (Kindle eBook),Amazon,$2 ,,,,,,,,
Apple,https://slickdeals.net/f/13988042-xfinity-mobile-iphone-se-199-8-33-month-port-in-and-24-month-bill-credits?src=catpagev2,Xfinity Mobile: Apple iPhone SE Smartphone Pre-Order (Gen 2),Xfinity,from $200,,,,,,,,
Apple,https://slickdeals.net/f/13987145-best-buy-apple-iphone-se-2nd-generation-64gb-black-sprint-299-99-50-gift-card-new-account-or-line-required?src=catpagev2,64GB Apple iPhone SE Smartphone for Sprint (2nd Gen) + $50 Best Buy eGC,Best Buy,$300 ,,,,,,,,
Apple,https://slickdeals.net/f/13985912-microcenter-ipad-pro-11-2020-128gb-space-gray-for-729-99-in-store-pickup-only-ymmv?src=catpagev2,"Microcenter: iPad Pro 11"" (2020) - 128GB Space Gray for $729.99. In store pickup ONLY. YMMV.",Micro Center,$729.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13985993-2-99-kindle-cookbook-saveur-magazine-the-new-comfort-food-home-cooking-from-around-the-world-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,"$2.99 Kindle Cookbook: Saveur Magazine: The New Comfort Food: Home Cooking from Around the World - Amazon, Google Play, B&N Nook, Apple Books and Kobo",Amazon,$2.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13985285-amazonbasics-neoprene-foam-13-3-macbook-laptop-sleeve-purple-4-49-free-s-h-w-amazon-prime-woot?src=catpagev2,"AmazonBasics Neoprene Foam 13.3"" Macbook Laptop Sleeve (Purple) $4.49 + Free S/H w/ Amazon Prime @ Woot",Woot!,$4.49 ,,,,,,,,
Apple,https://slickdeals.net/f/13978769-medium-raw-by-anthony-bourdain-narrated-by-anthony-bouirdain-audiobook-3-apple-books-4-google-play?src=catpagev2,"Medium Raw by Anthony Bourdain - narrated by Anthony Bouirdain - Audiobook - $3 Apple Books, $4 Google Play",,,,,,,,,,
Apple,https://slickdeals.net/f/13977686-0-99-android-and-ios-games-bloons-td-6-gunhouse-toby-a-normal-lost-phone-more-google-play-and-apple?src=catpagev2,"$0.99 Android and iOS Games - Bloons TD 6, Gunhouse, Toby, A Normal Lost Phone + more - Google Play and Apple",,,,,,,,,,
Apple,https://slickdeals.net/f/13973102-xcentz-3ft-apple-mfi-certified-nylon-braided-lightning-cable-blue-5-99-ac-fsss?src=catpagev2,Xcentz 3FT Apple MFi Certified Nylon Braided Lightning Cable (Blue) $5.99 AC + FSSS,Amazon,$5.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13968230-kindle-sci-fi-ebook-count-zero-by-william-gibson-cyberpunk-1-99-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,"Count Zero (Sprawl Trilogy Book 2, Kindle eBook)",Amazon,$2 ,,,,,,,,
Apple,https://slickdeals.net/f/13968260-kindle-classic-sci-fi-ebook-foundation-by-isaac-asimov-2-99-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,"Kindle Classic Sci-Fi eBook: Foundation by Isaac Asimov - $2.99 - Amazon, Google Play, B&N Nook, Apple Books and Kobo",,,,,,,,,,
Apple,https://slickdeals.net/f/13968107-ios-kingdom-rush-frontiers-and-origins-0-99?src=catpagev2,(iOS) Kingdom Rush Frontiers and Origins $0.99,Apple iTunes,$0.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13964621-dead-cells-ios-game-app-5-99-via-apple-app-store?src=catpagev2,Dead Cells (iOS Game App) $5.99 via Apple App Store,Apple Store,$5.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13962677-kindle-historical-fiction-ebook-fall-of-giants-the-century-trilogy-book-1-by-ken-follett-2-99-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,"Kindle Historical Fiction eBook: Fall of Giants (The Century Trilogy, Book 1) by Ken Follett - $2.99 - Amazon, Google Play, B&N Nook, Apple Books and Kobo",,,,,,,,,,
Apple,https://slickdeals.net/f/13960334-apple-iphone-xs-case-silicone-20-leather-various-colors-20-free-shipping?src=catpagev2,"Apple iPhone XS Case: Silicone $20, Leather (Various Colors)",Verizon Wireless,$20 ,,,,,,,,
Apple,https://slickdeals.net/f/13959461-apple-airpods-2nd-gen-with-charging-case-wireless-charging-case-119-99-129-99-respectively-microcenter?src=catpagev2,"Apple AirPods w/ Wireless Charging Case (2nd Generation, White)",Micro Center,$130 ,,,,,,,,
Apple,https://slickdeals.net/f/13957358-kindle-cookbook-ebook-good-eats-the-early-years-by-alton-brown-2-99-amazon-google-play-b-n-nook-apple-books-and-kobo?src=catpagev2,Alton Brown: Good Eats: The Early Years (Kindle eBook),Amazon,$3 ,,,,,,,,
Apple,https://slickdeals.net/f/13958318-red-pocket-200-off-iphone-8-plus-for-signing-up-for-1-month-of-the-40-plan-349?src=catpagev2,Red Pocket: $200 off iPhone 8 Plus for Signing Up for 1 Month of the $40 Plan- $349,Red Pocket Mobile,$389 ,,,,,,,,
Apple,https://slickdeals.net/f/13955144-kindle-baseball-ebooks-red-sox-yankees-dodgers-and-many-more-1-3-each-amazon-google-b-n-nook-apple?src=catpagev2,"Kindle Baseball eBooks: Red Sox, Yankees, Dodgers and many more - $1-$3 each - Amazon, Google, B&N Nook & Apple",,,,,,,,,,
Apple,https://slickdeals.net/f/13954574-del-taco-free-chicken-crunch-burrito-w-any-purchase-via-the-mobile-app-ios-or-android-expires-4-8?src=catpagev2,Del Taco: Free Chicken Crunch Burrito w/ Any Purchase via the Mobile App (iOS or Android) * Expires 4/8,Del Taco,,,,,,,,,
Apple,https://slickdeals.net/f/13953989-affinity-photo-for-ipad-ios-ipad-app-10-9-99?src=catpagev2,Affinity Photo for iPad (iOS/iPad App) $10 $9.99,Apple Music,$9.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13949438-allowance-chores-bot-free-at-ios?src=catpagev2,Allowance & Chores Bot free at iOS,Apple Music,,,,,,,,,
Apple,https://slickdeals.net/f/13943840-list-of-home-activities-for-kids-during-coronavirus-pandemic?src=catpagev2,"Kids Learning Tools/Resources: Various Kids Online Courses, Activities, More",Apple Music,Free,,,,,,,,
Apple,https://slickdeals.net/f/13937441-remote-office-not-required-kindle-and-apple-books-2-99?src=catpagev2,Remote: Office Not Required (Kindle and Apple Books) $2.99,,$2.99 ,,,,,,,,
Apple,https://slickdeals.net/f/13936817-straight-talk-apple-iphone-6s-prepaid-smartphone-with-32gb-space-gray-99?src=catpagev2,"Straight Talk Apple iPhone 6s Prepaid Smartphone with 32GB, Space Gray - $99",,$99 ,,,,,,,,
Autos,https://slickdeals.net/f/14002109-toughsystem-22-in-tool-box-set-3-piece-with-bonus-9-ft-x-1-2-in-pocket-tape-measure-with-magnetic-back-109-97?src=catpagev2,ToughSystem 22 in. Tool Box Set (3-Piece) with Bonus 9 ft. x 1/2 in. Pocket Tape Measure with Magnetic Back $109.97,Home Depot,$109.97 ,,,,,,,,
Autos,https://slickdeals.net/f/14002160-discount-tire-direct-flash-sale-set-of-4-select-tires-various-brands?src=catpagev2,Discount Tire Direct Flash Sale: Set of 4 Select Tires (various brands),,,,,,,,,,
Autos,https://slickdeals.net/f/13999910-reese-2-inch-dual-hitch-extension-ymmv-19-99?src=catpagev2,Reese 2-inch Dual Hitch Extension YMMV -$ 19.99,Lowe's,$19.99 ,,,,,,,,
Autos,https://slickdeals.net/f/14000768-segway-scooter-es4-n-target-709-with-75-gc?src=catpagev2,Segway Scooter ES4-N (Target) - $709 With $75 GC,Target,$709 ,,,,,,,,
Autos,https://slickdeals.net/f/13998431-kirkland-signature-synthetic-motor-oil-qty-two-5-qts-for-26-99?src=catpagev2,Kirkland Signature Synthetic Motor Oil QTY TWO 5 Qts for $26.99,Costco Wholesale,$26.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13999148-costway-315lbs-outboard-heavy-duty-boat-motor-stand-carrier-cart-dolly-56-95-free-shipping?src=catpagev2,Costway 315lbs Outboard Heavy Duty Boat Motor Stand Carrier Cart Dolly $56.95 + Free Shipping,Costway,,,,,,,,,
Autos,https://slickdeals.net/f/13998407-cipa-49102-2-hotspots-round-stick-on-convex-mirror-1-26-amazon?src=catpagev2,"CIPA 49102 2"" HotSpots Round Stick-On Convex Mirror. $1.26 @Amazon",Amazon,$1.26 ,,,,,,,,
Autos,https://slickdeals.net/f/13995590-ymmv-30-39hitch-mounted-cargo-tray-30-39?src=catpagev2,YMMV$ 30.39Hitch Mounted Cargo Tray $30.39,Lowe's,$30.39 ,,,,,,,,
