name,p_link,price,store_name
"Amazon: Select Discover Cardholders: Pay w/ Points, Get",https://slickdeals.net/f/14021918-amazon-20-off-up-to-50-when-you-use-discover-card-points-ymmv?src=featured-cat,20% Off,Amazon
GameStop Nintendo Switch Lite Bundles starting at $215 (all colors in stock- even coral),https://slickdeals.net/f/14011967-gamestop-nintendo-switch-lite-bundles-starting-at-215-all-colors-in-stock-even-coral?src=featured-cat,$215,GameStop
Costco Members: Apple Watch Series 5 44mm GPS Smartwatch w/ Aluminum Case,https://slickdeals.net/f/14008763-costco-members-apple-watch-series-5-44mm-gps-smartwatch-w-aluminum-case-330-more-4-99-s-h?src=featured-cat,$330,
Google Pixel Phone Repairs for First Responders & Healthcare Responders,https://slickdeals.net/f/14006402-google-pixel-phone-repairs-for-first-responders-healthcare-responders-free-via-carry-in-curbside-service?src=featured-cat,Free,
Apple Watch Series 5 40mm GPS Smartwatch w/ Aluminum Case,https://slickdeals.net/f/14024882-apple-watch-series-5-40mm-gps-smartwatch-w-aluminum-case-300-more-free-s-h?src=featured-cat,$300,Target
Trade-In Offer: Amazon Echo Show 8 Smart Display (Sandstone or Charcoal),https://slickdeals.net/f/14024396-echo-show-8-79-99-on-amazon-com-or-less?src=featured-cat,$60 or less,Amazon
DJI Osmo Mobile 3 Smartphone Gimbal,https://slickdeals.net/f/14026469-dji-osmo-mobile-3-smartphone-gimbal-89-free-s-h?src=featured-cat,$89,B&H Photo Video
"AmazonBasics Alkaline Batteries: 8-Pk 9V $7.15, 48-Pk AA $9.10, 100-Pk AAA",https://slickdeals.net/f/14038604-100-pack-amazonbasics-aaa-alkaline-batteries-13-65-w-s-s-more-free-s-h?src=catpagev2,$13.65,Amazon
Apple EarPods Wired Headphones with Lightning Connector - White $13.85,https://slickdeals.net/f/14038904-apple-earpods-wired-headphones-with-lightning-connector-white-13-85?src=catpagev2,$13.85,Walmart
Lenovo 8 Inch Smart Display Walmart B&M $45,https://slickdeals.net/f/14038376-lenovo-8-inch-smart-display-walmart-b-m-45?src=catpagev2,$45,Walmart
"Open Box Fair VIZIO  40"" LED V-Series 2160p Smart 4K UHD TV with HDR - $132 YMMV",https://slickdeals.net/f/14037248-open-box-fair-vizio-40-led-v-series-2160p-smart-4k-uhd-tv-with-hdr-132-ymmv?src=catpagev2,$131.99,Best Buy
Staples Coupon: $20 off Online Orders of $80 + Free shipping,https://slickdeals.net/f/14039036-staples-coupon-20-off-online-orders-of-80-free-shipping?src=catpagev2,,Staples
Sony XBR55X950G plus $250 Dell eGift Card for $998,https://slickdeals.net/f/14039027-sony-xbr55x950g-plus-250-dell-egift-card-for-998?src=catpagev2,,
Marvel's Avengers: Age of Ultron or Ant-Man Steelbook (Blu-ray + Digital),https://slickdeals.net/f/14036786-antman-or-avengers-age-of-ultron-blu-ray-steelbook-10-best-buy?src=catpagev2,$10,Best Buy
Sony - WH-CH400 Wireless On-Ear Headphones - Black - $21.99 @ Best Buy,https://slickdeals.net/f/14038985-sony-wh-ch400-wireless-on-ear-headphones-black-21-99-best-buy?src=catpagev2,,Best Buy
"Kobo Clara HD 6"" 300ppi Carta E-Ink 8GB Touchscreen WiFi E-Reader $89.96 + Free Shipping",https://slickdeals.net/f/14038715-kobo-clara-hd-6-300ppi-carta-e-ink-8gb-touchscreen-wifi-e-reader-89-96-free-shipping?src=catpagev2,$89.96,Walmart
Sony - WF-SP700N Sport True Wireless Noise Cancelling Earbud Headphones - Black $99.99 @BestBuy,https://slickdeals.net/f/14038976-sony-wf-sp700n-sport-true-wireless-noise-cancelling-earbud-headphones-black-99-99-bestbuy?src=catpagev2,$99.99,Best Buy
"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminum Case with Black sport Band $179",https://slickdeals.net/f/14038952-apple-watch-series-3-gps-38mm-space-gray-aluminum-case-with-black-sport-band-179?src=catpagev2,,Amazon
"Xbox One X Jedi: Fallen Order Bundle $299.99 at Best Buy, Target & Gamestop or $299.00 at Microsoft website",https://slickdeals.net/f/14036684-xbox-one-x-jedi-fallen-order-bundle-299-99-at-best-buy-target-gamestop-or-299-00-at-microsoft-website?src=catpagev2,$299.99,Best Buy
Vizio SB36512-F6 sound bar - Costco - $289.99,https://slickdeals.net/f/14038202-vizio-sb36512-f6-sound-bar-costco-289-99?src=catpagev2,,Costco Wholesale
Fuji Labs SQ306 High-Grade Pure Beryllium In-Ear Headphones with Built-In Mic - $10 Shipped,https://slickdeals.net/f/14038511-fuji-labs-sq306-high-grade-pure-beryllium-in-ear-headphones-with-built-in-mic-10-shipped?src=catpagev2,,Newegg
Anker Soundcore Liberty Air 2 Wireless Earbuds $78.99 AC + FSSS,https://slickdeals.net/f/14038391-anker-soundcore-liberty-air-2-wireless-earbuds-78-99-ac-fsss?src=catpagev2,,Amazon
Sony XBR85X800H 85-inch Smart 4K UHD HDR TV - $1999 Shipped,https://slickdeals.net/f/14038283-sony-xbr85x800h-85-inch-smart-4k-uhd-hdr-tv-1999-shipped?src=catpagev2,,Newegg
"Energy by Klipsch Power12 Sub 12"" 150W Front-Firing Rear Ported Subwoofer for $119 Shipped",https://slickdeals.net/f/14036654-energy-by-klipsch-power12-sub-12-150w-front-firing-rear-ported-subwoofer-for-119-shipped?src=catpagev2,$119,Newegg
"Shutterfly 12""x16"" Custom Pillow $14.79, 16""x16"" for $16.64, 18""x18"" for $18.49 + free shipping",https://slickdeals.net/f/14037023-shutterfly-12-x16-custom-pillow-14-79-16-x16-for-16-64-18-x18-for-18-49-free-shipping?src=catpagev2,$14.79,
Osmo Action Combo + FS $229,https://slickdeals.net/f/14038034-osmo-action-combo-fs-229?src=catpagev2,$229,
